battery,model,rmse,mae,skill,eol_pred,eol_true,eol_in_test,eol_error
B0005,physics,0.03475435063714915,0.02715216942104448,0.2787274051902604,107.46034007964246,100.12437844200996,True,7.335961637632508
B0005,gp,0.1894340073793537,0.17506049747291916,1.5192471838389396,,100.12437844200996,True,
B0005,hybrid,0.051248736864554736,0.04920309382574223,0.41101120244402056,131.0401691283207,100.12437844200996,True,30.915790686310757
B0005,persistence,0.1246893918214669,0.11185718213217319,1.0,,100.12437844200996,True,
B0005,drift,0.07013528784908604,0.06810337455142174,0.562479989873616,147.3256959503705,100.12437844200996,True,47.20131750836053
B0006,physics,0.10299083425186405,0.0865748158191207,0.9371243493790368,,60.04569310009201,False,
B0006,gp,0.22056768290703443,0.20614369539773614,2.0069683660665683,,60.04569310009201,False,
B0006,hybrid,0.04500643033691822,0.039321021118766265,0.40951820668055294,,60.04569310009201,False,
B0006,persistence,0.10990092651002877,0.09589464063396584,1.0,,60.04569310009201,False,
B0006,drift,0.06584630732553508,0.05686245333601296,0.5991424223300467,,60.04569310009201,False,
B0007,physics,0.049837188325386354,0.03807610362316476,0.5267958483542444,111.74339236770408,123.1275773094222,True,-11.384184941718118
B0007,gp,0.15585305257826684,0.14409647911068887,1.6474192026147025,,123.1275773094222,True,
B0007,hybrid,0.02991184537021147,0.026748999043396438,0.3161782694232555,136.1796778365852,123.1275773094222,True,13.052100527163006
B0007,persistence,0.09460436805089109,0.08476271674780904,1.0,,123.1275773094222,True,
B0007,drift,0.03442115480706956,0.033810393034270345,0.36384318733098225,146.51838940560418,123.1275773094222,True,23.39081209618199
B0018,physics,0.03000734099822661,0.025919703522854644,0.2620602415355142,95.29700653641241,74.92524981478,True,20.37175672163241
B0018,gp,0.15043996915274538,0.1403329724214873,1.3138229960159977,,74.92524981478,True,
B0018,hybrid,0.03316872593351746,0.029782177011548498,0.2896692622674084,96.79104350699951,74.92524981478,True,21.865793692219512
B0018,persistence,0.11450550767412017,0.10646121022162984,1.0,,74.92524981478,True,
B0018,drift,0.025614766804312697,0.020739929446249507,0.22369899339000957,81.37180420270606,74.92524981478,True,6.4465543879260565
